cluster_label,ra_deg_param,dec_deg_param,r_sun_display_param,r_gc_kpc_display_param,n_rv,n_pm,present_mass_display,v_mag_display,mass_to_light_display,core_radius_pc,half_light_radius_pc,half_mass_radius_pc,tidal_radius_pc,log_core_density,log_half_mass_density,log_relaxation_time_yr,log_initial_mass_msun,remaining_dissolution_time_gyr,mass_range_display,mf_slope_display,sigma0_kms,vesc_kms,eta_core,eta_half_mass,rotation_amplitude_display,rotation_probability_percent,r_sun_kpc_param,r_gc_kpc_param,present_mass_msun,v_mag,mass_to_light_v,mf_slope,rotation_amplitude_kms,ra_deg,dec_deg,galactic_l_deg,galactic_b_deg,r_sun_display,r_gc_kpc_display,rv_kms_display,pmra_masyr_display,pmdec_masyr_display,pm_correlation,x_kpc_display,y_kpc_display,z_kpc_display,u_kms_display,v_kms_display,w_kms_display,r_peri_kpc_display,r_apo_kpc_display,r_sun_kpc,r_gc_kpc,rv_kms,pmra_masyr,pmdec_masyr,x_kpc,y_kpc,z_kpc,u_kms,v_kms,w_kms,r_peri_kpc,r_apo_kpc,cluster_name,cluster_alias,semi_major_axis_kpc,eccentricity,initial_mass_msun,mass_loss_fraction,radius_bin_paper
NGC 6717,283.77518,-22.70147,7.52 ± 0.13,2.38 ± 0.02,28,372,2.63 ± 0.19 · 104,8.98 ± 0.03,1.14 ± 0.09,0.29,2.63,3.26,17.82,3.95,1.95,8.44,5.97,0.7,0.30 − 0.79,1.47 ± 0.18,2.9,11.6,-0.38,-0.09,,,7.52,2.38,26300.0,8.98,1.14,1.47,,283.775177,-22.701473,12.876,-10.9,7.52 ± 0.13,2.38 ± 0.02,30.25 ± 0.90,-3.153 ± 0.016,-5.008 ± 0.016,0.35,0.98 ± 0.13,1.65 ± 0.03,-1.42 ± 0.02,-91.59 ± 0.87,55.81 ± 0.57,27.44 ± 0.58,0.74 ± 0.02,2.54 ± 0.05,7.52,2.38,30.25,-3.153,-5.008,0.98,1.65,-1.42,-91.59,55.81,27.44,0.74,2.54,NGC 6717,,1.6400000000000001,0.548780487804878,933254.3007969905,0.9718190422722509,inner_<3kpc
NGC 6540,271.53566,-27.76529,5.91 ± 0.27,2.34 ± 0.25,16,8,5.62 ± 0.37 · 104,9.74 ± 0.11,2.27 ± 0.27,0.09,2.65,4.49,22.71,5.37,1.87,8.93,5.86,2.0,0.30 − 0.76,-1.24 ± 0.29,3.8,15.1,-0.4,-0.11,,,5.91,2.34,56200.0,9.74,2.27,-1.24,,271.535657,-27.765286,3.285,-3.313,5.91 ± 0.27,2.34 ± 0.25,-16.50 ± 0.78,-3.695 ± 0.019,-2.818 ± 0.018,0.23,2.29 ± 0.27,0.34 ± 0.02,-0.34 ± 0.02,-4.50 ± 0.78,132.39 ± 0.50,60.24 ± 0.52,1.06 ± 0.17,2.32 ± 0.28,5.91,2.34,-16.5,-3.695,-2.818,2.29,0.34,-0.34,-4.5,132.39,60.24,1.06,2.32,NGC 6540,,1.69,0.37278106508875736,724435.9600749906,0.9224224043293179,inner_<3kpc
NGC 6652,278.94012,-32.99072,9.46 ± 0.14,2.18 ± 0.09,49,902,4.09 ± 0.15 · 104,8.92 ± 0.04,1.53 ± 0.08,0.17,1.46,1.85,17.7,4.82,2.89,8.1,6.33,0.5,0.26 − 0.83,0.84 ± 0.17,4.8,19.1,-0.37,-0.11,,,9.46,2.18,40900.0,8.92,1.53,0.84,,278.940125,-32.990723,1.534,-11.377,9.46 ± 0.14,2.18 ± 0.09,-95.37 ± 0.86,-5.496 ± 0.012,-4.250 ± 0.012,0.07,-1.10 ± 0.14,0.25 ± 0.00,-1.87 ± 0.03,46.85 ± 0.86,-26.61 ± 0.53,165.75 ± 0.55,0.32 ± 0.05,3.09 ± 0.17,9.46,2.18,-95.37,-5.496,-4.25,-1.1,0.25,-1.87,46.85,-26.61,165.75,0.32,3.09,NGC 6652,,1.7049999999999998,0.812316715542522,2137962.0895022326,0.9808696327213536,inner_<3kpc
NGC 6626 M 28,276.13704,-24.86985,5.37 ± 0.10,3.02 ± 0.09,199,365,2.70 ± 0.17 · 105,6.85 ± 0.06,1.94 ± 0.16,0.32,1.61,2.33,47.42,4.98,3.41,8.72,6.22,5.4,0.19 − 0.78,-0.18 ± 0.18,10.4,41.1,-0.38,-0.11,2.42 ± 1.08,100.0,5.37,3.02,270000.0,6.85,1.94,-0.18,2.42,276.137039,-24.869847,7.798,-5.581,5.37 ± 0.10,3.02 ± 0.09,11.11 ± 0.60,-0.303 ± 0.018,-8.931 ± 0.018,-0.26,2.88 ± 0.10,0.72 ± 0.01,-0.52 ± 0.01,-40.52 ± 0.60,48.96 ± 0.46,-90.99 ± 0.46,0.61 ± 0.05,2.97 ± 0.10,5.37,3.02,11.11,-0.303,-8.931,2.88,0.72,-0.52,-40.52,48.96,-90.99,0.61,2.97,NGC 6626,M 28,1.79,0.6592178770949721,1659586.9074375597,0.8373089117599233,inner_<3kpc
NGC 6256,254.88611,-37.12097,7.24 ± 0.29,1.94 ± 0.11,14,1838,1.11 ± 0.03 · 105,10.56 ± 0.11,1.87 ± 0.20,0.07,2.94,4.21,27.28,6.18,2.25,9.02,5.89,4.6,0.46 − 0.79,-1.12 ± 0.19,5.4,19.8,-0.35,-0.12,,,7.24,1.94,111000.00000000001,10.56,1.87,-1.12,,254.886107,-37.120968,347.792,3.307,7.24 ± 0.29,1.94 ± 0.11,-99.75 ± 0.66,-3.685 ± 0.019,-1.634 ± 0.018,-0.14,1.11 ± 0.29,-1.53 ± 0.06,0.42 ± 0.02,115.73 ± 0.66,154.69 ± 0.63,66.43 ± 0.64,1.42 ± 0.22,2.18 ± 0.03,7.24,1.94,-99.75,-3.685,-1.634,1.11,-1.53,0.42,115.73,154.69,66.43,1.42,2.18,NGC 6256,,1.8,0.21111111111111117,776247.1166286912,0.857004299762062,inner_<3kpc
NGC 6266 M 62,255.30415,-30.11339,6.03 ± 0.09,2.46 ± 0.07,6899,330,5.81 ± 0.04 · 105,6.60 ± 0.06,2.15 ± 0.12,0.23,1.74,2.91,51.41,5.93,3.46,9.07,6.26,17.4,0.53 − 0.81,-1.14 ± 0.19,14.8,59.3,-0.38,-0.1,6.22 ± 1.53,100.0,6.03,2.46,581000.0,6.6,2.15,-1.14,6.22,255.304153,-30.11339,353.575,7.318,6.03 ± 0.09,2.46 ± 0.07,-73.98 ± 0.67,-5.030 ± 0.031,-3.004 ± 0.031,-0.05,2.24 ± 0.09,-0.67 ± 0.01,0.77 ± 0.01,87.09 ± 0.68,106.94 ± 0.89,59.64 ± 0.89,1.08 ± 0.06,2.69 ± 0.07,6.03,2.46,-73.98,-5.03,-3.004,2.24,-0.67,0.77,87.09,106.94,59.64,1.08,2.69,NGC 6266,M 62,1.885,0.42705570291777184,1819700.8586099825,0.68071675228872,inner_<3kpc
NGC 6517,270.46075,-8.95878,9.23 ± 0.56,3.24 ± 0.26,27,354,2.16 ± 0.24 · 105,10.69 ± 0.05,2.60 ± 0.32,0.14,1.7,2.88,47.36,5.63,3.04,8.87,6.29,3.1,0.54 − 0.79,-1.38 ± 0.19,9.2,37.3,-0.41,-0.11,,,9.23,3.24,216000.0,10.69,2.6,-1.38,,270.46075,-8.958778,19.225,6.762,9.23 ± 0.56,3.24 ± 0.26,-35.06 ± 1.65,-1.554 ± 0.018,-4.452 ± 0.017,0.34,-0.47 ± 0.52,3.02 ± 0.18,1.09 ± 0.07,-49.03 ± 1.57,50.13 ± 0.89,-31.30 ± 0.78,0.42 ± 0.04,3.40 ± 0.27,9.23,3.24,-35.06,-1.554,-4.452,-0.47,3.02,1.09,-49.03,50.13,-31.3,0.42,3.4,NGC 6517,,1.91,0.7801047120418848,1949844.5997580455,0.8892219410578652,inner_<3kpc
2MASS-GC02,272.4021,-20.77889,5.50 ± 0.44,2.91 ± 0.37,7,0,1.6 · 104,24.60,1.80,0.62,2.22,2.85,15.7,3.04,1.91,8.21,6.0,0.4,—,0.50,2.2,8.4,-0.33,-0.1,,,5.5,2.91,16000.0,24.6,1.8,0.5,,272.4021,-20.778889,9.782,-0.615,5.50 ± 0.44,2.91 ± 0.37,-87.50 ± 2.83,-2.924 ± 0.220,-3.776 ± 0.174,0.47,2.76 ± 0.43,0.93 ± 0.07,-0.06 ± 0.00,54.01 ± 2.88,116.10 ± 4.81,27.30 ± 5.47,0.68 ± 0.23,3.18 ± 0.38,5.5,2.91,-87.5,-2.924,-3.776,2.76,0.93,-0.06,54.01,116.1,27.3,0.68,3.18,2MASS-GC02,,1.9300000000000002,0.6476683937823834,1000000.0,0.984,inner_<3kpc
NGC 6304,258.6344,-29.46203,6.15 ± 0.15,2.19 ± 0.13,205,1007,1.03 ± 0.04 · 105,8.18 ± 0.07,1.29 ± 0.09,0.39,1.83,3.05,27.27,4.32,2.71,8.67,5.79,5.2,0.43 − 0.89,-0.40 ± 0.14,5.7,22.8,-0.36,-0.09,1.30 ± 0.91,89.4,6.15,2.19,103000.0,8.18,1.29,-0.4,1.3,258.634399,-29.462028,355.826,5.376,6.15 ± 0.15,2.19 ± 0.13,-108.62 ± 0.39,-4.073 ± 0.012,-1.089 ± 0.011,0.05,2.07 ± 0.15,-0.45 ± 0.01,0.58 ± 0.01,110.98 ± 0.39,166.20 ± 0.32,75.17 ± 0.33,1.56 ± 0.13,2.70 ± 0.14,6.15,2.19,-108.62,-4.073,-1.089,2.07,-0.45,0.58,110.98,166.2,75.17,1.56,2.7,NGC 6304,,2.13,0.26760563380281693,616595.0018614822,0.8329535599720302,inner_<3kpc
NGC 6569,273.41167,-31.82689,10.53 ± 0.26,2.59 ± 0.23,164,150,2.29 ± 0.21 · 105,8.90 ± 0.04,2.17 ± 0.21,0.89,2.6,3.46,42.91,3.8,2.82,8.95,5.96,11.0,0.56 − 0.82,0.24 ± 0.26,7.6,28.4,-0.32,-0.12,0.81 ± 0.91,52.3,10.53,2.59,229000.0,8.9,2.17,0.24,0.81,273.411667,-31.826889,0.481,-6.681,10.53 ± 0.26,2.59 ± 0.23,-49.83 ± 0.50,-4.142 ± 0.010,-7.333 ± 0.009,0.16,-2.28 ± 0.26,0.09 ± 0.00,-1.23 ± 0.03,33.52 ± 0.50,-168.57 ± 0.47,24.53 ± 0.48,1.68 ± 0.30,2.70 ± 0.25,10.53,2.59,-49.83,-4.142,-7.333,-2.28,0.09,-1.23,33.52,-168.57,24.53,1.68,2.7,NGC 6569,,2.19,0.2328767123287672,912010.8393559096,0.7489064930832106,inner_<3kpc
NGC 6273 M 19,255.65749,-26.26797,8.34 ± 0.16,1.43 ± 0.03,306,671,7.19 ± 0.37 · 105,6.88 ± 0.04,2.32 ± 0.15,0.99,3.16,4.7,39.68,4.12,2.92,9.47,6.3,24.3,0.43 − 0.76,-1.33 ± 0.20,11.6,44.8,-0.36,-0.09,4.19 ± 1.12,100.0,8.34,1.43,719000.0,6.88,2.32,-1.33,4.19,255.657486,-26.267971,356.869,9.382,8.34 ± 0.16,1.43 ± 0.03,145.54 ± 0.59,-3.256 ± 0.010,1.668 ± 0.009,0.0,-0.04 ± 0.16,-0.45 ± 0.01,1.36 ± 0.03,-129.95 ± 0.59,221.75 ± 0.38,171.75 ± 0.38,1.22 ± 0.04,3.29 ± 0.10,8.34,1.43,145.54,-3.256,1.668,-0.04,-0.45,1.36,-129.95,221.75,171.75,1.22,3.29,NGC 6273,M 19,2.255,0.45898004434589806,1995262.3149688789,0.6396463790219911,inner_<3kpc
NGC 6316,259.15542,-28.14011,11.15 ± 0.39,3.16 ± 0.36,74,80,3.47 ± 0.44 · 105,9.01 ± 0.17,2.83 ± 0.57,0.74,3.15,6.08,47.48,4.01,2.28,9.46,6.18,10.2,0.57 − 0.84,-0.61 ± 0.32,7.6,30.3,-0.35,-0.05,,,11.15,3.16,347000.0,9.01,2.83,-0.61,,259.155417,-28.140111,357.175,5.764,11.15 ± 0.39,3.16 ± 0.36,99.65 ± 0.84,-4.974 ± 0.028,-4.605 ± 0.027,0.08,-2.90 ± 0.38,-0.55 ± 0.02,1.12 ± 0.04,-85.27 ± 0.85,-102.10 ± 1.44,92.58 ± 1.46,0.87 ± 0.21,3.85 ± 0.50,11.15,3.16,99.65,-4.974,-4.605,-2.9,-0.55,1.12,-85.27,-102.1,92.58,0.87,3.85,NGC 6316,,2.36,0.6313559322033898,1513561.2484362072,0.770739373541364,inner_<3kpc
BH 261 AL 3,273.5275,-28.635,6.12 ± 0.26,2.20 ± 0.23,5,22,2.38 ± 0.57 · 104,11.26 ± 0.04,8.52 ± 2.06,0.36,2.94,4.45,20.63,3.48,1.52,8.79,5.69,1.3,0.40 − 0.79,-2.35 ± 0.32,2.2,9.1,-0.37,-0.14,,,6.12,2.2,23800.0,11.26,8.52,-2.35,,273.5275,-28.635,3.362,-5.27,6.12 ± 0.26,2.20 ± 0.23,-60.00 ± 2.24,3.589 ± 0.022,-3.570 ± 0.020,0.25,2.10 ± 0.26,0.36 ± 0.02,-0.56 ± 0.02,58.95 ± 2.22,205.82 ± 0.60,-127.18 ± 0.65,1.45 ± 0.22,3.33 ± 0.28,6.12,2.2,-60.0,3.589,-3.57,2.1,0.36,-0.56,58.95,205.82,-127.18,1.45,3.33,BH 261 AL 3,,2.39,0.39330543933054396,489778.81936844665,0.9514066369168652,inner_<3kpc
Ton 2,264.042,-38.5561,6.99 ± 0.34,1.76 ± 0.19,23,172,4.31 ± 0.91 · 104,11.66 ± 0.06,0.94 ± 0.21,0.99,2.86,4.26,21.55,2.92,1.82,8.88,5.63,2.8,0.45 − 0.82,-1.48 ± 0.25,3.0,11.6,-0.38,-0.13,,,6.99,1.76,43099.99999999999,11.66,0.94,-1.48,,264.042,-38.5561,350.793,-3.424,6.99 ± 0.34,1.76 ± 0.19,-184.72 ± 1.12,-5.936 ± 0.020,-0.795 ± 0.019,0.24,1.29 ± 0.33,-1.12 ± 0.05,-0.42 ± 0.02,182.40 ± 1.11,154.24 ± 0.65,169.82 ± 0.65,1.80 ± 0.14,3.00 ± 0.29,6.99,1.76,-184.72,-5.936,-0.795,1.29,-1.12,-0.42,182.4,154.24,169.82,1.8,3.0,Ton 2,,2.4,0.25,426579.5188015926,0.8989637380597113,inner_<3kpc
VVV-CL001,268.67708,-24.01472,8.08 ± 1.48,0.76 ± 0.68,53,18,1.54 ± 0.31 · 105,14.20 ± 0.50,4.48 ± 2.31,0.56,2.34,3.23,36.42,4.07,2.74,8.86,6.16,4.0,—,-0.21 ± 0.30,6.5,25.9,-0.38,-0.13,,,8.08,0.76,154000.0,14.2,4.48,-0.21,,268.677083,-24.014722,5.267,0.78,8.08 ± 1.48,0.76 ± 0.68,-327.28 ± 0.90,-3.394 ± 0.110,-1.710 ± 0.077,0.3,0.13 ± 1.48,0.74 ± 0.14,0.11 ± 0.02,304.62 ± 0.94,100.38 ± 3.30,81.91 ± 3.91,0.72 ± 0.36,4.11 ± 1.99,8.08,0.76,-327.28,-3.394,-1.71,0.13,0.74,0.11,304.62,100.38,81.91,0.72,4.11,VVV-CL001,,2.415,0.7018633540372672,1445439.770745928,0.8934580304784838,inner_<3kpc
NGC 6402 M 14,264.40065,-3.24592,9.14 ± 0.25,3.97 ± 0.11,302,720,5.95 ± 0.29 · 105,7.87 ± 0.06,2.13 ± 0.16,2.0,3.54,4.92,73.95,3.35,2.78,9.42,6.36,10.8,0.38 − 0.81,-0.81 ± 0.15,10.2,35.6,-0.28,-0.12,1.58 ± 0.88,97.7,9.14,3.97,595000.0,7.87,2.13,-0.81,1.58,264.400651,-3.245916,21.324,14.804,9.14 ± 0.25,3.97 ± 0.11,-60.71 ± 0.45,-3.599 ± 0.006,-5.055 ± 0.006,0.12,-0.06 ± 0.23,3.21 ± 0.09,2.34 ± 0.06,-46.65 ± 0.42,-20.92 ± 0.30,20.20 ± 0.29,0.56 ± 0.08,4.28 ± 0.13,9.14,3.97,-60.71,-3.599,-5.055,-0.06,3.21,2.34,-46.65,-20.92,20.2,0.56,4.28,NGC 6402,M 14,2.42,0.7685950413223142,2290867.6527677746,0.7402730798171014,inner_<3kpc
NGC 6723,284.88812,-36.63225,8.27 ± 0.10,2.47 ± 0.02,493,4035,1.97 ± 0.04 · 105,7.21 ± 0.04,2.24 ± 0.09,1.48,3.64,5.07,38.54,3.13,2.26,9.23,5.88,11.4,0.23 − 0.79,-0.33 ± 0.14,5.9,21.5,-0.29,-0.12,0.84 ± 0.55,93.0,8.27,2.47,197000.0,7.21,2.24,-0.33,0.84,284.888123,-36.632248,0.069,-17.299,8.27 ± 0.10,2.47 ± 0.02,-94.39 ± 0.26,1.018 ± 0.006,-2.410 ± 0.006,0.21,0.28 ± 0.09,0.01 ± 0.00,-2.46 ± 0.03,100.19 ± 0.26,178.63 ± 0.23,-32.93 ± 0.23,2.07 ± 0.05,2.82 ± 0.03,8.27,2.47,-94.39,1.018,-2.41,0.28,0.01,-2.46,100.19,178.63,-32.93,2.07,2.82,NGC 6723,,2.445,0.15337423312883436,758577.5750291835,0.7403034225043877,inner_<3kpc
NGC 6139,246.91847,-38.84878,10.04 ± 0.45,3.51 ± 0.28,60,296,3.52 ± 0.34 · 105,8.97 ± 0.08,1.88 ± 0.23,0.29,1.85,2.49,58.71,5.21,3.44,8.8,6.07,14.7,0.55 − 0.79,-0.17 ± 0.17,11.7,46.4,-0.38,-0.1,,,10.04,3.51,352000.0,8.97,1.88,-0.17,,246.918466,-38.848782,342.366,6.939,10.04 ± 0.45,3.51 ± 0.28,24.41 ± 0.95,-6.083 ± 0.012,-2.705 ± 0.012,-0.05,-1.32 ± 0.43,-3.02 ± 0.14,1.21 ± 0.05,68.39 ± 0.91,-29.37 ± 0.63,130.82 ± 0.59,1.32 ± 0.23,3.58 ± 0.30,10.04,3.51,24.41,-6.083,-2.705,-1.32,-3.02,1.21,68.39,-29.37,130.82,1.32,3.58,NGC 6139,,2.45,0.4612244897959183,1174897.5549395303,0.7003994105527637,inner_<3kpc
NGC 6093 M 80,244.26004,-22.97608,10.34 ± 0.12,3.95 ± 0.08,3040,2285,3.21 ± 0.09 · 105,7.43 ± 0.03,1.97 ± 0.08,0.21,1.93,2.82,62.86,5.52,3.23,8.9,6.14,9.6,0.23 − 0.76,-0.45 ± 0.16,11.1,44.6,-0.45,-0.11,1.97 ± 0.84,99.7,10.34,3.95,321000.0,7.43,1.97,-0.45,1.97,244.26004,-22.976084,352.673,19.463,10.34 ± 0.12,3.95 ± 0.08,10.93 ± 0.39,-2.937 ± 0.010,-5.577 ± 0.010,-0.33,-1.49 ± 0.11,-1.24 ± 0.01,3.44 ± 0.04,-9.10 ± 0.40,-48.78 ± 0.48,-62.97 ± 0.47,0.87 ± 0.07,4.07 ± 0.07,10.34,3.95,10.93,-2.937,-5.577,-1.49,-1.24,3.44,-9.1,-48.78,-62.97,0.87,4.07,NGC 6093,M 80,2.47,0.6477732793522267,1380384.2646028837,0.767456056815928,inner_<3kpc
NGC 6144,246.80777,-26.0235,8.15 ± 0.13,2.50 ± 0.02,30,664,8.46 ± 0.39 · 104,9.24 ± 0.04,2.66 ± 0.16,1.0,3.7,4.97,28.82,3.14,1.92,9.04,5.73,5.3,0.36 − 0.76,0.07 ± 0.14,3.9,15.0,-0.34,-0.12,,,8.15,2.5,84600.00000000001,9.24,2.66,0.07,,246.80777,-26.0235,351.929,15.701,8.15 ± 0.13,2.50 ± 0.02,194.79 ± 0.58,-1.737 ± 0.017,-2.624 ± 0.016,-0.22,0.41 ± 0.12,-1.10 ± 0.02,2.21 ± 0.03,-184.47 ± 0.58,106.09 ± 0.63,43.41 ± 0.63,1.89 ± 0.10,3.11 ± 0.05,8.15,2.5,194.79,-1.737,-2.624,0.41,-1.1,2.21,-184.47,106.09,43.41,1.89,3.11,NGC 6144,,2.5,0.244,537031.7963702533,0.8424674282383215,inner_<3kpc
NGC 6171 M 107,248.13275,-13.05378,5.63 ± 0.08,3.74 ± 0.04,403,1872,6.12 ± 0.17 · 104,8.28 ± 0.04,1.81 ± 0.08,0.52,2.58,3.72,35.14,3.68,2.15,8.75,5.81,3.1,0.23 − 0.78,-0.20 ± 0.14,3.9,15.7,-0.33,-0.11,0.70 ± 0.46,93.9,5.63,3.74,61200.0,8.28,1.81,-0.2,0.7,248.132752,-13.053778,3.373,23.011,5.63 ± 0.08,3.74 ± 0.04,-34.71 ± 0.18,-1.936 ± 0.007,-5.979 ± 0.007,-0.02,3.00 ± 0.07,0.30 ± 0.00,2.20 ± 0.03,-10.30 ± 0.18,93.71 ± 0.18,-57.70 ± 0.18,1.21 ± 0.03,3.83 ± 0.03,5.63,3.74,-34.71,-1.936,-5.979,3.0,0.3,2.2,-10.3,93.71,-57.7,1.21,3.83,NGC 6171,M 107,2.52,0.5198412698412699,645654.2290346549,0.905212422922556,inner_<3kpc
Gran 1 ESO 456-SC29,269.651,-32.02,8.27 ± 0.67,0.60 ± 0.25,8,24,2.6 · 104,12.41,1.80,1.37,5.72,7.79,19.05,2.18,0.85,9.14,5.64,1.5,—,-0.10,1.8,6.8,-0.35,-0.09,,,8.27,0.6,26000.0,12.41,1.8,-0.1,,269.651,-32.02,358.767,-3.977,8.27 ± 0.67,0.60 ± 0.25,78.94 ± 1.44,-8.044 ± 0.038,-8.049 ± 0.031,0.42,-0.07 ± 0.67,-0.18 ± 0.01,-0.57 ± 0.05,-88.72 ± 1.43,-179.91 ± 1.29,119.01 ± 1.41,1.45 ± 0.29,3.60 ± 0.83,8.27,0.6,78.94,-8.044,-8.049,-0.07,-0.18,-0.57,-88.72,-179.91,119.01,1.45,3.6,Gran 1 ESO 456-SC29,,2.525,0.42574257425742584,436515.8322401656,0.9404374410280378,inner_<3kpc
NGC 6287,256.2889,-22.70801,7.93 ± 0.37,1.57 ± 0.04,8,300,1.30 ± 0.16 · 105,9.40 ± 0.07,2.52 ± 0.35,0.32,1.94,2.81,22.61,6.01,2.84,8.71,6.0,4.4,0.36 − 0.76,-0.57 ± 0.16,6.8,26.8,-0.35,-0.12,,,7.93,1.57,130000.0,9.4,2.52,-0.57,,256.288904,-22.708005,0.132,11.023,7.93 ± 0.37,1.57 ± 0.04,-294.74 ± 1.65,-4.991 ± 0.010,-1.886 ± 0.009,-0.02,0.40 ± 0.36,0.02 ± 0.00,1.52 ± 0.07,298.98 ± 1.62,84.28 ± 0.35,59.53 ± 0.47,0.91 ± 0.06,4.16 ± 0.17,7.93,1.57,-294.74,-4.991,-1.886,0.4,0.02,1.52,298.98,84.28,59.53,0.91,4.16,NGC 6287,,2.535,0.641025641025641,1000000.0,0.87,inner_<3kpc
NGC 6541,272.00983,-43.71489,7.61 ± 0.10,2.19 ± 0.01,7336,4372,2.57 ± 0.03 · 105,6.61 ± 0.04,1.53 ± 0.06,0.11,2.29,3.81,37.42,6.47,2.75,9.12,5.97,12.8,0.26 − 0.73,-0.75 ± 0.16,9.2,37.3,-0.39,-0.13,3.73 ± 1.15,100.0,7.61,2.19,256999.99999999997,6.61,1.53,-0.75,3.73,272.009827,-43.714889,349.286,-11.188,7.61 ± 0.10,2.19 ± 0.01,-163.97 ± 0.46,0.283 ± 0.006,-8.832 ± 0.005,0.09,0.84 ± 0.10,-1.39 ± 0.02,-1.48 ± 0.02,228.17 ± 0.45,13.34 ± 0.21,-111.74 ± 0.22,1.55 ± 0.04,3.58 ± 0.02,7.61,2.19,-163.97,0.283,-8.832,0.84,-1.39,-1.48,228.17,13.34,-111.74,1.55,3.58,NGC 6541,,2.565,0.3957115009746589,933254.3007969905,0.724619538553935,inner_<3kpc
NGC 6388,264.07178,-44.7355,11.17 ± 0.16,3.99 ± 0.13,6008,12692,1.31 ± 0.01 · 106,6.82 ± 0.03,2.30 ± 0.07,0.48,2.61,5.37,96.85,5.18,3.0,9.64,6.48,40.1,0.40 − 0.84,-1.01 ± 0.18,16.3,60.0,-0.16,-0.0,1.51 ± 0.65,99.5,11.17,3.99,1310000.0,6.82,2.3,-1.01,1.51,264.071777,-44.7355,345.556,-6.738,11.17 ± 0.16,3.99 ± 0.13,83.11 ± 0.45,-1.317 ± 0.007,-2.715 ± 0.007,0.01,-2.57 ± 0.16,-2.77 ± 0.04,-1.31 ± 0.02,-49.47 ± 0.44,78.28 ± 0.38,-19.32 ± 0.38,1.15 ± 0.02,4.05 ± 0.12,11.17,3.99,83.11,-1.317,-2.715,-2.57,-2.77,-1.31,-49.47,78.28,-19.32,1.15,4.05,NGC 6388,,2.5999999999999996,0.5576923076923077,3019951.720402019,0.5662182308578061,inner_<3kpc
Pal 8,280.37729,-19.82886,11.32 ± 0.63,4.09 ± 0.51,13,224,7.13 ± 1.53 · 104,10.11 ± 0.10,2.90 ± 0.68,1.88,3.46,6.14,36.97,2.38,1.57,9.18,5.84,3.2,—,-0.23 ± 0.30,3.2,11.7,-0.3,-0.11,,,11.32,4.09,71300.0,10.11,2.9,-0.23,,280.37729,-19.828858,14.103,-6.801,11.32 ± 0.63,4.09 ± 0.51,-39.68 ± 1.25,-1.999 ± 0.054,-5.633 ± 0.047,0.16,-2.72 ± 0.61,2.74 ± 0.15,-1.34 ± 0.07,-46.04 ± 1.42,-67.23 ± 2.54,-26.26 ± 2.79,1.09 ± 0.36,4.12 ± 0.59,11.32,4.09,-39.68,-1.999,-5.633,-2.72,2.74,-1.34,-46.04,-67.23,-26.26,1.09,4.12,Pal 8,,2.605,0.581573896353167,691830.9709189363,0.8969401443458154,inner_<3kpc
FSR 1735,253.04417,-47.05806,9.08 ± 0.53,3.25 ± 0.22,6,90,9.98 ± 1.98 · 104,14.38 ± 0.11,2.04 ± 0.46,0.52,2.08,2.69,35.32,4.04,2.79,8.56,5.83,4.4,0.65 − 0.79,-0.03 ± 0.31,5.8,22.2,-0.34,-0.1,,,9.08,3.25,99800.0,14.38,2.04,-0.03,,253.044174,-47.058056,339.188,-1.853,9.08 ± 0.53,3.25 ± 0.22,-69.85 ± 4.88,-4.570 ± 0.054,-1.515 ± 0.046,-0.11,-0.31 ± 0.49,-3.23 ± 0.19,-0.29 ± 0.02,113.12 ± 4.59,111.87 ± 2.63,120.05 ± 2.20,1.13 ± 0.14,4.12 ± 0.39,9.08,3.25,-69.85,-4.57,-1.515,-0.31,-3.23,-0.29,113.12,111.87,120.05,1.13,4.12,FSR 1735,,2.625,0.5695238095238095,676082.9753919819,0.852384982860813,inner_<3kpc
Ter 3,247.16248,-35.33983,7.64 ± 0.31,2.46 ± 0.02,31,100,3.25 ± 0.95 · 104,10.59 ± 0.17,1.41 ± 0.47,2.37,4.7,6.24,21.1,1.84,1.2,8.98,5.53,2.6,0.49 − 0.83,-0.08 ± 0.22,2.1,7.6,-0.27,-0.1,,,7.64,2.46,32500.0,10.59,1.41,-0.08,,247.162483,-35.339829,345.084,9.199,7.64 ± 0.31,2.46 ± 0.02,-135.76 ± 0.57,-5.578 ± 0.019,-1.748 ± 0.018,-0.04,0.89 ± 0.30,-1.94 ± 0.08,1.22 ± 0.05,181.97 ± 0.58,113.20 ± 0.65,89.05 ± 0.67,2.40 ± 0.05,2.88 ± 0.08,7.64,2.46,-135.76,-5.578,-1.748,0.89,-1.94,1.22,181.97,113.2,89.05,2.4,2.88,Ter 3,,2.6399999999999997,0.09090909090909091,338844.15613920277,0.9040857001333426,inner_<3kpc
